blueTeamTotalKills,blueTeamDragonKills,blueTeamHeraldKills,blueTeamTotalGold,blueTeamXp,blueTeamTotalDamageToChamps,blueWin
-3,-1,0,-147,-897,-1292,0
2,-1,0,1161,1610,1366,1
7,-1,0,5312,7729,-506,1
22,1,0,13223,7572,19370,1
8,0,0,6474,3790,8836,1
1,0,0,463,1308,-10830,0
3,2,1,4870,3448,11650,1
5,0,0,5031,1972,11463,0
-8,-2,0,-3992,-2502,-1511,0
-9,1,0,-5532,-4010,-3875,0
3,0,0,3086,1981,5385,1
10,1,0,2513,3833,10276,1
2,0,1,1604,2347,4962,0
-4,2,1,441,2222,-1701,0
1,1,0,1529,1933,1283,0
0,0,0,-208,-2097,-3161,0
2,1,1,2807,3289,2955,1
-2,0,0,-811,-88,-6938,0
-2,-2,0,-2822,408,-5792,0
0,-2,-1,-1179,-244,-7585,0
-12,0,0,-6035,-3115,-6030,0
7,-1,0,3738,1733,4142,0
10,-1,0,3684,1680,11481,1
-8,-1,-1,-2191,-2051,-9922,0
-10,0,-1,-6661,-4266,-10026,0
-5,-1,0,-2035,-1144,-5910,0
1,-1,0,876,-8,1975,1
-4,-2,0,-1364,-1256,-5758,0
12,0,0,7277,4693,6000,1
1,-2,1,2375,3371,6851,0
0,-2,0,-72,-96,-4737,0
-15,-1,0,-8777,-5120,-17126,0
0,-1,0,-576,289,-1413,0
10,2,1,2126,2962,3611,1
4,1,0,3262,2508,7000,1
-10,-2,0,-3366,-3540,-8102,0
5,0,0,855,3772,-5705,1
-2,-1,0,1587,-655,-1233,0
14,0,0,5572,5228,7314,1
1,0,0,-1002,-1263,-3362,0
10,2,0,1735,1452,-1658,1
-1,0,1,-49,17,5517,1
2,2,0,3586,1684,7733,1
5,2,0,2346,-245,5670,0
2,0,0,-364,28,-6151,0
11,2,1,5006,2575,7469,1
12,2,0,6947,3404,5416,1
-3,-2,0,1256,-466,-4399,0
2,-2,0,2486,1872,5642,0
-4,2,0,22,-1847,-1391,0
-15,-2,-1,-8923,-8042,-9981,0
-3,0,0,-1467,-2543,-3626,0
8,2,0,4301,4896,8639,0
-1,0,1,2059,1123,3700,1
4,0,0,4863,4502,3852,1
4,1,0,5775,4665,5915,1
0,1,0,3075,1707,10839,0
8,-2,1,4322,813,4737,1
-4,2,0,-1251,584,2004,0
3,2,0,2919,1030,62,0
15,0,1,6287,5233,13149,1
-3,-2,0,-5031,-1510,-9347,0
-3,-2,0,-1876,-1832,-11698,0
16,2,0,12417,6101,15670,1
15,0,0,10164,8827,12819,1
6,-1,0,1446,626,5958,1
